nom_col,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
CATAVIÑA RESIDENCIAL,29.0786278,-110.9921555,"Nueva Galicia, 83247 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ9eeTqHSEzoYR3t6ruuZbw5o,"establishment, point_of_interest",2025-11-05T23:16:12.210465
CAÑADA DE LOS NEGROS,29.0873893,-110.9443301,"Cañada de los Negros, Hermosillo, Son., Mexico",APPROXIMATE,ChIJM76wCbaFzoYRzfPL9y1l49U,"political, sublocality, sublocality_level_1",2025-11-05T23:16:12.561762
CENTENARIO,29.075294,-110.9610952,"El Centenario, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ3VDpdUWEzoYRupyapkbnVic,"political, sublocality, sublocality_level_1",2025-11-05T23:16:12.920141
CENTENARIO LUX,29.075294,-110.9610952,"El Centenario, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ3VDpdUWEzoYRupyapkbnVic,"political, sublocality, sublocality_level_1",2025-11-05T23:16:13.264575
CENTRO,29.083816,-110.9528873,"Centro, Hermosillo, Son., Mexico",APPROXIMATE,ChIJcRemT0qEzoYRGKv6ZEMJUPg,"political, sublocality, sublocality_level_1",2025-11-05T23:16:13.616416
CERRADA CORONADO,29.1497156,-110.9728517,"Cda. Coronado, San Luis Rey, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJq0vL4x-HzoYR5W9Txyz0Q9I,route,2025-11-05T23:16:14.055445
CERRADA CORONADO II,29.1285733,-111.0206473,"Av. Juan Pablo II, El Chaparral, 83179 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJRclODj2BzoYR2k00rXLvdQI,route,2025-11-05T23:16:14.402303
CERRADA CUCURPE,29.0730525,-110.9517395,"Cucurpe, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJDwd3RlKEzoYRixGzObQTeDY,route,2025-11-05T23:16:14.752507
CERRADA DE CORTES,29.1488869,-110.9766507,"Cda. de Cortes, Villa del Cortes, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJjfgBeiCHzoYRLWIP84AwrA4,route,2025-11-05T23:16:15.124285
CERRADA DE LA CAPILLA,29.1496661,-110.9873369,"P.º de La Misa, Hacienda, 83105 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJo4rzPgCHzoYRUNw5IMdz8mE,"establishment, point_of_interest",2025-11-05T23:16:15.502163
CERRADA DE MINAS,29.0784143,-110.9856584,"Cerrada de Minas, 83240 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJE0lInW2EzoYR6sYXoYJ3s1c,route,2025-11-05T23:16:15.856444
CERRADA DEL ANGEL,29.154238,-111.0151171,"Cerrada del Angel, 83318 Hermosillo, Son., Mexico",APPROXIMATE,ChIJk3C_t8SAzoYR51_VpPdBkdw,"political, sublocality, sublocality_level_1",2025-11-05T23:16:16.209898
CERRADA SAN IGNACIO,29.0466949,-110.984449,"San Ignacio, Palo Verde, 83280 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJlSscOZCEzoYR49kmzA4XTiY,route,2025-11-05T23:16:16.585089
CERRADA SAN RAFAEL,29.1380269,-110.9804672,"San Rafael, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ9Rn6YcSGzoYRK-vOc4RzRyQ,route,2025-11-05T23:16:16.951402
CERRADA SUAQUI GRANDE,29.1400862,-110.9794069,"Suaqui Grande, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJXy0ufdyGzoYRmv_MBsCDSyU,route,2025-11-05T23:16:17.313347
CERRADA VISTA AZUL,29.1410774,-110.9628149,"Banus, Vista Azul Residencial, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJSRfh9VKHzoYR1genwYUdUV8,"establishment, point_of_interest",2025-11-05T23:16:17.682512
CERRO 01,29.0368712,-110.9651701,"Cjon. del Cerro 1, Villa Hermosa, 83280 Hermosillo, Son., Mexico",ROOFTOP,ChIJ2RNfAcOEzoYRoEZTkPlNSMw,"premise, street_address",2025-11-05T23:16:18.028239
CERRO 04,29.0510328,-110.9525787,"Cerro 4, Pedregal de la Villa, 83290 Hermosillo, Son., Mexico",RANGE_INTERPOLATED,Ej1DZXJybyA0LCBQZWRyZWdhbCBkZSBsYSBWaWxsYSwgODMyOTAgSGVybW9zaWxsbywgU29uLiwgTWV4aWNvIjASLgoUChIJyWTf8eKEzoYRwM6HysdxJTUQBCoUChIJyWTf8eKEzoYR8_qqs2lBIuw,street_address,2025-11-05T23:16:18.391361
CERRO DE LA CAMPANA,29.071527,-110.9543891,"Cerro la Campana, Hermosillo, Son., Mexico",APPROXIMATE,ChIJQ44KFVOEzoYRAJOAzy_R6bg,"political, sublocality, sublocality_level_1",2025-11-05T23:16:18.748064
CHOYAL,29.1053747,-110.9894099,"Choyal, Hermosillo, Son., Mexico",APPROXIMATE,ChIJQ8zhVqiGzoYRcUObZ0WkJts,"political, sublocality, sublocality_level_1",2025-11-05T23:16:19.088097
CHULA VISTA,29.0173779,-110.9309182,"Chulavista, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ6b62ZsmazoYRrBZgRoERYM4,"political, sublocality, sublocality_level_1",2025-11-05T23:16:19.439258
CINCO DE MAYO,29.0912666,-110.9439576,"5 de Mayo, Hermosillo, Son., Mexico",APPROXIMATE,ChIJ33twOMmFzoYRqVzl_gEv9vQ,"political, sublocality, sublocality_level_1",2025-11-05T23:16:19.775609
