COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
BICENTENARIO 1910,29.1679567,-111.0007665,"Av. Bicentenario 1910, 83318 Hermosillo, Son., Mexico",ROOFTOP,ChIJ3TyKerWAzoYR_sWk6Rzo_rg,"street_address, subpremise",2025-11-05T17:37:15.991297
BILBAO RESIDENCIAL,29.164371,-110.9972183,"Boulevard Solidaridad Boulevard Solidaridad y Boulevard Reineta, 83107 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJK0MJJq6HzoYRpA7H_fQt2e0,"establishment, point_of_interest",2025-11-05T17:37:16.360530
BONANZA,29.0999107,-110.9770608,"Av. José San Healy 337, Olivares, 83180 Hermosillo, Son., Mexico",ROOFTOP,ChIJw6ijJR-EzoYRdGsXZzCMsts,"bar, establishment, point_of_interest",2025-11-05T17:37:16.736409
BONILLA,29.09755839999999,-110.9476606,"Parque la Ruina, Cruz Gálvez, Centro, 83010 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJNc_5hPaFzoYRXob6xOSWr9g,"establishment, food, point_of_interest",2025-11-05T17:37:17.113946
BOSCO RESIDENCIA,29.1058535,-111.0181256,"Av Jesús Siqueiros, Sahuaro Municipal, 83178 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ0SDGZ1yBzoYRzfUlYluEtTs,"establishment, point_of_interest",2025-11-05T17:37:17.478529
BRETAÑA,29.1260039,-110.9458203,"Bretaña, Hermosillo, Son., Mexico",APPROXIMATE,ChIJQ5r1XmGGzoYRdnR-7gubgaw,"political, sublocality, sublocality_level_1",2025-11-05T17:37:17.830384
BUENA VENTURA,29.1527188,-110.9602745,"Ventura, Colinas del Sol, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJVWaPkQKHzoYR4RLEf8CvGbI,route,2025-11-05T17:37:18.200722
BUENA VISTA,29.24457,-110.6373777,"83308 Buena Vista, Son., Mexico",APPROXIMATE,ChIJufkLZfT1zoYRtHokHVpJ37Y,"locality, political",2025-11-05T17:37:18.561126
BUENA VISTA SECCION AMANECERES,29.0825833,-111.0175353,"Buenavista, Residencial Salvatierra, 83224 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJK0U8QOmDzoYR0btenlEAeeE,route,2025-11-05T17:37:18.939234
BUENAVENTURA,29.1231605,-110.9184316,"Calle Olivas14, Buenaventura Residential, 83166 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJeQllfzp9zoYRdlkkGTHnO-M,"establishment, point_of_interest",2025-11-05T17:37:19.296235
